,Region,UV-cone,Area (nm2),RS (nm),Number
0,N,UV-1,1366351.623157918,1803.6929745523175,5
1,N,UV-2,1856676.898889395,2712.5322932540394,4
2,N,UV-3,1977589.0219181103,1879.9735620185288,4
3,N,UV-4,1420443.2622866295,2574.877133335055,6
4,N,UV-5,2094756.1000885253,3091.110490413517,6
5,N,UV-6,1913515.3692207101,1668.0301420012154,5
6,D,UV-1,949160.1615882064,2510.897468685979,4
7,D,UV-2,781628.2032779036,1371.9499821116822,5
8,D,UV-3,466177.2234786424,865.5769805698793,3
9,D,UV-4,1070826.359077261,1891.9579499523334,3
10,D,UV-5,615724.7069048758,1245.4881175849928,2
11,D,UV-6,953748.5272910638,1188.9923057830729,2
12,S,UV-1,1583703.4277668884,1573.1137897903377,5
13,S,UV-2,1949579.3002887743,3101.8494669101647,4
14,S,UV-3,1646087.048275319,2810.0312954654974,4
15,S,UV-4,1271021.4373851295,1881.728126980174,4
16,S,UV-5,2118192.1832847646,2253.5290392043016,7
17,S,UV-6,1398161.766298184,2210.9337694212086,5
