,zone,id,distance,density
0,N,UV-1,0.0,0.0
1,N,UV-1,5.0,0.792061
2,N,UV-1,10.0,1.58412
3,N,UV-1,15.0,0.792061
4,N,UV-1,20.0,0.396031
5,N,UV-1,25.0,1.58412
6,N,UV-1,30.0,2.77222
7,N,UV-1,35.0,2.77222
8,N,UV-1,40.0,4.75237
9,N,UV-1,45.0,3.96031
10,N,UV-1,50.0,3.16825
11,N,UV-1,55.0,1.18809
12,N,UV-1,60.0,3.56428
13,N,UV-1,65.0,2.37618
14,N,UV-1,70.0,1.18809
15,N,UV-1,75.0,1.98015
16,N,UV-1,80.0,1.58412
17,N,UV-1,85.0,1.58412
18,N,UV-1,90.0,0.792061
19,N,UV-1,95.0,0.792061
20,N,UV-1,100.0,1.18809
21,N,UV-1,105.0,1.98015
22,N,UV-1,110.0,2.37618
23,N,UV-1,115.0,0.0
24,N,UV-1,120.0,1.18809
25,N,UV-1,125.0,0.396031
26,N,UV-1,130.0,0.792061
27,N,UV-1,135.0,0.792061
28,N,UV-1,140.0,0.396031
29,N,UV-1,145.0,0.396031
30,N,UV-1,150.0,1.98015
31,N,UV-1,155.0,0.792061
32,N,UV-1,160.0,0.396031
33,N,UV-1,165.0,1.18809
34,N,UV-1,170.0,3.56428
35,N,UV-1,175.0,0.396031
36,N,UV-1,180.0,0.396031
37,N,UV-1,185.0,0.792061
38,N,UV-1,190.0,1.98015
39,N,UV-1,195.0,2.77222
40,N,UV-1,200.0,1.18809
41,N,UV-1,205.0,0.396031
42,N,UV-1,210.0,1.58412
43,N,UV-1,215.0,0.792061
44,N,UV-1,220.0,0.396031
45,N,UV-1,225.0,1.18809
46,N,UV-1,230.0,0.792061
47,N,UV-1,235.0,1.58412
48,N,UV-1,240.0,1.18809
49,N,UV-1,245.0,1.58412
50,N,UV-1,250.0,0.792061
51,N,UV-1,255.0,1.98015
52,N,UV-1,260.0,0.0
53,N,UV-1,265.0,1.58412
54,N,UV-1,270.0,0.0
55,N,UV-1,275.0,1.58412
56,N,UV-1,280.0,1.98015
57,N,UV-1,285.0,0.396031
58,N,UV-1,290.0,1.18809
59,N,UV-1,295.0,1.98015
60,N,UV-1,300.0,1.98015
61,N,UV-1,305.0,0.792061
62,N,UV-1,310.0,0.792061
63,N,UV-1,315.0,1.18809
64,N,UV-1,320.0,1.98015
65,N,UV-1,325.0,1.98015
66,N,UV-1,330.0,0.792061
67,N,UV-1,335.0,1.18809
68,N,UV-1,340.0,0.396031
69,N,UV-1,345.0,1.18809
70,N,UV-1,350.0,1.58412
71,N,UV-1,355.0,0.792061
72,N,UV-1,360.0,1.18809
73,N,UV-1,365.0,0.792061
74,N,UV-1,370.0,0.792061
75,N,UV-1,375.0,0.396031
76,N,UV-1,380.0,1.58412
77,N,UV-1,385.0,0.792061
78,N,UV-1,390.0,1.18809
79,N,UV-1,395.0,0.0
80,N,UV-1,400.0,0.792061
81,N,UV-1,405.0,0.396031
82,N,UV-1,410.0,1.18809
83,N,UV-1,415.0,0.396031
84,N,UV-1,420.0,0.792061
85,N,UV-1,425.0,0.792061
86,N,UV-1,430.0,1.18809
87,N,UV-1,435.0,0.396031
88,N,UV-1,440.0,1.18809
89,N,UV-1,445.0,0.792061
90,N,UV-1,450.0,0.0
91,N,UV-1,455.0,1.18809
92,N,UV-1,460.0,0.396031
93,N,UV-1,465.0,0.396031
94,N,UV-1,470.0,1.18809
95,N,UV-1,475.0,1.18809
96,N,UV-1,480.0,2.37618
97,N,UV-1,485.0,0.792061
98,N,UV-1,490.0,1.18809
99,N,UV-1,495.0,0.0
100,N,UV-2,0.0,0.0
101,N,UV-2,5.0,0.0
102,N,UV-2,10.0,0.0
103,N,UV-2,15.0,0.0
104,N,UV-2,20.0,0.34074
105,N,UV-2,25.0,1.36296
106,N,UV-2,30.0,1.36296
107,N,UV-2,35.0,3.74814
108,N,UV-2,40.0,5.45184
109,N,UV-2,45.0,7.49628
110,N,UV-2,50.0,3.74814
111,N,UV-2,55.0,5.1111
112,N,UV-2,60.0,4.08888
113,N,UV-2,65.0,1.36296
114,N,UV-2,70.0,2.72592
115,N,UV-2,75.0,4.42962
116,N,UV-2,80.0,2.72592
117,N,UV-2,85.0,1.02222
118,N,UV-2,90.0,1.7037
119,N,UV-2,95.0,3.4074
120,N,UV-2,100.0,1.02222
121,N,UV-2,105.0,3.06666
122,N,UV-2,110.0,1.7037
123,N,UV-2,115.0,3.06666
124,N,UV-2,120.0,2.72592
125,N,UV-2,125.0,3.06666
126,N,UV-2,130.0,3.4074
127,N,UV-2,135.0,1.7037
128,N,UV-2,140.0,1.7037
129,N,UV-2,145.0,2.38518
130,N,UV-2,150.0,2.04444
131,N,UV-2,155.0,1.36296
132,N,UV-2,160.0,2.04444
133,N,UV-2,165.0,2.38518
134,N,UV-2,170.0,1.7037
135,N,UV-2,175.0,2.38518
136,N,UV-2,180.0,1.02222
137,N,UV-2,185.0,1.7037
138,N,UV-2,190.0,0.68148
139,N,UV-2,195.0,2.38518
140,N,UV-2,200.0,2.38518
141,N,UV-2,205.0,1.36296
142,N,UV-2,210.0,2.04444
143,N,UV-2,215.0,1.36296
144,N,UV-2,220.0,1.7037
145,N,UV-2,225.0,0.68148
146,N,UV-2,230.0,2.72592
147,N,UV-2,235.0,2.04444
148,N,UV-2,240.0,1.7037
149,N,UV-2,245.0,1.36296
150,N,UV-2,250.0,2.38518
151,N,UV-2,255.0,3.06666
152,N,UV-2,260.0,1.02222
153,N,UV-2,265.0,0.68148
154,N,UV-2,270.0,1.7037
155,N,UV-2,275.0,1.7037
156,N,UV-2,280.0,1.36296
157,N,UV-2,285.0,0.34074
158,N,UV-2,290.0,0.68148
159,N,UV-2,295.0,1.36296
160,N,UV-2,300.0,0.68148
161,N,UV-2,305.0,0.68148
162,N,UV-2,310.0,0.34074
163,N,UV-2,315.0,0.0
164,N,UV-2,320.0,0.34074
165,N,UV-2,325.0,1.02222
166,N,UV-2,330.0,0.34074
167,N,UV-2,335.0,0.34074
168,N,UV-2,340.0,1.36296
169,N,UV-2,345.0,0.68148
170,N,UV-2,350.0,0.68148
171,N,UV-2,355.0,1.36296
172,N,UV-2,360.0,0.68148
173,N,UV-2,365.0,1.02222
174,N,UV-2,370.0,1.02222
175,N,UV-2,375.0,0.34074
176,N,UV-2,380.0,0.34074
